file	rule_selector	dropped_branch	missing_classes	missing_ids	action
src/css/components/UPC.css	.carousel-collection .av31-facts .av31-episode	.carousel-collection .av31-facts .av31-episode	av31-facts,av31-episode		drop-rule
src/css/components/UPC.css	.carousel-collection .av31-facts .av31-episode small	.carousel-collection .av31-facts .av31-episode small	av31-facts,av31-episode		drop-rule
src/css/components/UPC.css	/* DESCRIEREA devine zona principală și se vede mai mare */ .carousel-collection .av31-description	/* DESCRIEREA devine zona principală și se vede mai mare */ .carousel-collection .av31-description	av31-description		drop-rule
src/css/components/UPC.css	.carousel-collection .av31-description > strong	.carousel-collection .av31-description > strong	av31-description		drop-rule
src/css/components/UPC.css	.carousel-collection .av31-description p	.carousel-collection .av31-description p	av31-description		drop-rule
src/css/components/UPC.css	/* UN SINGUR BUTON, pe toată lățimea */ .carousel-collection .av31-watch	/* UN SINGUR BUTON, pe toată lățimea */ .carousel-collection .av31-watch	av31-watch		drop-rule
src/css/components/UPC.css	/* Ascundem explicit vechile elemente în caz că rămân în DOM/CSS. */ .carousel-collection .av-back-plus:not(#__av_prio_a#__av_prio_b), .carousel-collection .av-back-footer-info:not(#__av_prio_a#__av_prio_b), .carousel-collection .av-back-center:not(#__av_prio_a#__av_prio_b), .carousel-collection .av-card-back-kicker:not(#__av_prio_a#__av_prio_b)	/* Ascundem explicit vechile elemente în caz că rămân în DOM/CSS. */ .carousel-collection .av-back-plus:not(#__av_prio_a#__av_prio_b)	av-back-plus		drop-rule
src/css/components/UPC.css	/* Ascundem explicit vechile elemente în caz că rămân în DOM/CSS. */ .carousel-collection .av-back-plus:not(#__av_prio_a#__av_prio_b), .carousel-collection .av-back-footer-info:not(#__av_prio_a#__av_prio_b), .carousel-collection .av-back-center:not(#__av_prio_a#__av_prio_b), .carousel-collection .av-card-back-kicker:not(#__av_prio_a#__av_prio_b)	.carousel-collection .av-back-footer-info:not(#__av_prio_a#__av_prio_b)	av-back-footer-info		drop-rule
src/css/components/UPC.css	/* Ascundem explicit vechile elemente în caz că rămân în DOM/CSS. */ .carousel-collection .av-back-plus:not(#__av_prio_a#__av_prio_b), .carousel-collection .av-back-footer-info:not(#__av_prio_a#__av_prio_b), .carousel-collection .av-back-center:not(#__av_prio_a#__av_prio_b), .carousel-collection .av-card-back-kicker:not(#__av_prio_a#__av_prio_b)	.carousel-collection .av-back-center:not(#__av_prio_a#__av_prio_b)	av-back-center		drop-rule
src/css/components/UPC.css	/* Ascundem explicit vechile elemente în caz că rămân în DOM/CSS. */ .carousel-collection .av-back-plus:not(#__av_prio_a#__av_prio_b), .carousel-collection .av-back-footer-info:not(#__av_prio_a#__av_prio_b), .carousel-collection .av-back-center:not(#__av_prio_a#__av_prio_b), .carousel-collection .av-card-back-kicker:not(#__av_prio_a#__av_prio_b)	.carousel-collection .av-card-back-kicker:not(#__av_prio_a#__av_prio_b)	av-card-back-kicker		drop-rule
src/css/components/UPC.css	/* ============================================================    V32 — SPATE SIMETRIC + TEXT MAI MARE    - toate blocurile aliniate pe centru    - cele 3 informații au aceeași lățime    - descriere mai mare și mai lizibilă    - încape complet în 184x248 / 172x236    ============================================================ */  .carousel-collection .av31-back	/* ============================================================    V32 — SPATE SIMETRIC + TEXT MAI MARE    - toate blocurile aliniate pe centru    - cele 3 informații au aceeași lățime    - descriere mai mare și mai lizibilă    - încape complet în 184x248 / 172x236    ============================================================ */  .carousel-collection .av31-back	av31-back		drop-rule
src/css/components/UPC.css	/* HEADER */ .carousel-collection .av31-back-head	/* HEADER */ .carousel-collection .av31-back-head	av31-back-head		drop-rule
src/css/components/UPC.css	.carousel-collection .av31-category	.carousel-collection .av31-category	av31-category		drop-rule
src/css/components/UPC.css	.carousel-collection .av31-rating	.carousel-collection .av31-rating	av31-rating		drop-rule
src/css/components/UPC.css	.carousel-collection .av31-back-head h3	.carousel-collection .av31-back-head h3	av31-back-head		drop-rule
src/css/components/UPC.css	/* 3 COLOANE PERFECT SIMETRICE */ .carousel-collection .av31-facts	/* 3 COLOANE PERFECT SIMETRICE */ .carousel-collection .av31-facts	av31-facts		drop-rule
src/css/components/UPC.css	.carousel-collection .av31-facts > span, .carousel-collection .av31-facts .av31-episode	.carousel-collection .av31-facts > span	av31-facts		drop-rule
src/css/components/UPC.css	.carousel-collection .av31-facts > span, .carousel-collection .av31-facts .av31-episode	.carousel-collection .av31-facts .av31-episode	av31-facts,av31-episode		drop-rule
src/css/components/UPC.css	.carousel-collection .av31-facts .av31-episode	.carousel-collection .av31-facts .av31-episode	av31-facts,av31-episode		drop-rule
src/css/components/UPC.css	.carousel-collection .av31-facts small, .carousel-collection .av31-facts .av31-episode small	.carousel-collection .av31-facts small	av31-facts		drop-rule
src/css/components/UPC.css	.carousel-collection .av31-facts small, .carousel-collection .av31-facts .av31-episode small	.carousel-collection .av31-facts .av31-episode small	av31-facts,av31-episode		drop-rule
src/css/components/UPC.css	.carousel-collection .av31-facts b, .carousel-collection .av31-facts .av31-episode b	.carousel-collection .av31-facts b	av31-facts		drop-rule
src/css/components/UPC.css	.carousel-collection .av31-facts b, .carousel-collection .av31-facts .av31-episode b	.carousel-collection .av31-facts .av31-episode b	av31-facts,av31-episode		drop-rule
src/css/components/UPC.css	.carousel-collection .av31-facts .av31-episode b	.carousel-collection .av31-facts .av31-episode b	av31-facts,av31-episode		drop-rule
src/css/components/UPC.css	/* DESCRIEREA ESTE ZONA PRINCIPALĂ */ .carousel-collection .av31-description	/* DESCRIEREA ESTE ZONA PRINCIPALĂ */ .carousel-collection .av31-description	av31-description		drop-rule
src/css/components/UPC.css	.carousel-collection .av31-description > strong	.carousel-collection .av31-description > strong	av31-description		drop-rule
src/css/components/UPC.css	.carousel-collection .av31-description p	.carousel-collection .av31-description p	av31-description		drop-rule
src/css/components/UPC.css	/* BUTON SIMETRIC */ .carousel-collection .av31-watch	/* BUTON SIMETRIC */ .carousel-collection .av31-watch	av31-watch		drop-rule
src/css/components/UPC.css	/* Neutralizăm layout-urile vechi av31/av32 dacă au rămas în CSS. */ .carousel-collection .av31-back, .carousel-collection .av31-back-head, .carousel-collection .av31-facts, .carousel-collection .av31-description, .carousel-collection .av31-watch	/* Neutralizăm layout-urile vechi av31/av32 dacă au rămas în CSS. */ .carousel-collection .av31-back	av31-back		drop-rule
src/css/components/UPC.css	/* Neutralizăm layout-urile vechi av31/av32 dacă au rămas în CSS. */ .carousel-collection .av31-back, .carousel-collection .av31-back-head, .carousel-collection .av31-facts, .carousel-collection .av31-description, .carousel-collection .av31-watch	.carousel-collection .av31-back-head	av31-back-head		drop-rule
src/css/components/UPC.css	/* Neutralizăm layout-urile vechi av31/av32 dacă au rămas în CSS. */ .carousel-collection .av31-back, .carousel-collection .av31-back-head, .carousel-collection .av31-facts, .carousel-collection .av31-description, .carousel-collection .av31-watch	.carousel-collection .av31-facts	av31-facts		drop-rule
src/css/components/UPC.css	/* Neutralizăm layout-urile vechi av31/av32 dacă au rămas în CSS. */ .carousel-collection .av31-back, .carousel-collection .av31-back-head, .carousel-collection .av31-facts, .carousel-collection .av31-description, .carousel-collection .av31-watch	.carousel-collection .av31-description	av31-description		drop-rule
src/css/components/UPC.css	/* Neutralizăm layout-urile vechi av31/av32 dacă au rămas în CSS. */ .carousel-collection .av31-back, .carousel-collection .av31-back-head, .carousel-collection .av31-facts, .carousel-collection .av31-description, .carousel-collection .av31-watch	.carousel-collection .av31-watch	av31-watch		drop-rule
src/css/components/footer.css	.avf-description	.avf-description	avf-description		drop-rule
src/css/components/footer.css	.avf-actions	.avf-actions	avf-actions		drop-rule
src/css/components/footer.css	.avf-action	.avf-action	avf-action		drop-rule
src/css/components/footer.css	.avf-action-primary	.avf-action-primary	avf-action-primary		drop-rule
src/css/components/footer.css	.avf-action:hover	.avf-action:hover	avf-action		drop-rule
src/css/components/footer.css	/* ---------- Social media ---------- */  .avf-social-section	/* ---------- Social media ---------- */  .avf-social-section	avf-social-section		drop-rule
src/css/components/footer.css	.avf-social-title	.avf-social-title	avf-social-title		drop-rule
src/css/components/footer.css	.avf-social-list	.avf-social-list	avf-social-list		drop-rule
src/css/components/footer.css	.avf-social-link	.avf-social-link	avf-social-link		drop-rule
src/css/components/footer.css	.avf-social-circle	.avf-social-circle	avf-social-circle		drop-rule
src/css/components/footer.css	.avf-social-name	.avf-social-name	avf-social-name		drop-rule
src/css/components/footer.css	.avf-social-link:hover .avf-social-circle	.avf-social-link:hover .avf-social-circle	avf-social-link,avf-social-circle		drop-rule
src/css/components/footer.css	.avf-social-link:hover .avf-social-name	.avf-social-link:hover .avf-social-name	avf-social-link,avf-social-name		drop-rule
src/css/components/footer.css	.avf-social-section	.avf-social-section	avf-social-section		drop-rule
src/css/components/footer.css	.avf-social-list	.avf-social-list	avf-social-list		drop-rule
src/css/components/footer.css	.avf-social-circle	.avf-social-circle	avf-social-circle		drop-rule
src/css/components/footer.css	.avf-outline-word span:not(#__av_prio_a#__av_prio_b), .avf-action:not(#__av_prio_a#__av_prio_b), .avf-social-circle:not(#__av_prio_a#__av_prio_b), .avf-az a:not(#__av_prio_a#__av_prio_b), .avf-nav-column a:not(#__av_prio_a#__av_prio_b)	.avf-action:not(#__av_prio_a#__av_prio_b)	avf-action		drop-branch
src/css/components/footer.css	.avf-outline-word span:not(#__av_prio_a#__av_prio_b), .avf-action:not(#__av_prio_a#__av_prio_b), .avf-social-circle:not(#__av_prio_a#__av_prio_b), .avf-az a:not(#__av_prio_a#__av_prio_b), .avf-nav-column a:not(#__av_prio_a#__av_prio_b)	.avf-social-circle:not(#__av_prio_a#__av_prio_b)	avf-social-circle		drop-branch
src/css/components/footer.css	.avf-brand-social:not(#__av_prio_a#__av_prio_b)	.avf-brand-social:not(#__av_prio_a#__av_prio_b)	avf-brand-social		drop-rule
src/css/components/footer.css	.avf-community-column strong	.avf-community-column strong	avf-community-column		drop-rule
src/css/components/footer.css	.avf-community-links	.avf-community-links	avf-community-links		drop-rule
src/css/components/footer.css	.avf-community-link	.avf-community-link	avf-community-link		drop-rule
src/css/components/footer.css	.avf-community-link i	.avf-community-link i	avf-community-link		drop-rule
src/css/components/footer.css	.avf-community-link:hover	.avf-community-link:hover	avf-community-link		drop-rule
src/css/components/footer.css	.avf-community-link:hover i	.avf-community-link:hover i	avf-community-link		drop-rule
src/css/components/footer.css	.avf-community-link	.avf-community-link	avf-community-link		drop-rule
src/css/components/header.css	.content-placeholder	.content-placeholder	content-placeholder		drop-rule
src/css/main/01-foundation.css	.side-preview	.side-preview	side-preview		drop-rule
src/css/main/01-foundation.css	.side-preview::before	.side-preview::before	side-preview		drop-rule
src/css/main/01-foundation.css	.side-content	.side-content	side-content		drop-rule
src/css/main/01-foundation.css	.side-title	.side-title	side-title		drop-rule
src/css/main/01-foundation.css	.side-content h1	.side-content h1	side-content		drop-rule
src/css/main/01-foundation.css	.side-content h1 span	.side-content h1 span	side-content		drop-rule
src/css/main/01-foundation.css	.lead	.lead	lead		drop-rule
src/css/main/01-foundation.css	.mini-card	.mini-card	mini-card		drop-rule
src/css/main/01-foundation.css	.mini-card .label	.mini-card .label	mini-card		drop-rule
src/css/main/01-foundation.css	.mini-card .stat	.mini-card .stat	mini-card,stat		drop-rule
src/css/main/01-foundation.css	.mini-card .small	.mini-card .small	mini-card		drop-rule
src/css/main/01-foundation.css	.showcase	.showcase	showcase		drop-rule
src/css/main/01-foundation.css	.panel-card, .palette-card	.panel-card	panel-card		drop-rule
src/css/main/01-foundation.css	.panel-card, .palette-card	.palette-card	palette-card		drop-rule
src/css/main/01-foundation.css	.panel-card h3, .palette-card h3	.panel-card h3	panel-card		drop-rule
src/css/main/01-foundation.css	.panel-card h3, .palette-card h3	.palette-card h3	palette-card		drop-rule
src/css/main/01-foundation.css	.ui-row	.ui-row	ui-row		drop-rule
src/css/main/01-foundation.css	.chip	.chip	chip		drop-rule
src/css/main/01-foundation.css	.chip.active	.chip.active	chip		drop-rule
src/css/main/01-foundation.css	.swatches	.swatches	swatches		drop-rule
src/css/main/01-foundation.css	.swatch	.swatch	swatch		drop-rule
src/css/main/01-foundation.css	.swatch-color	.swatch-color	swatch-color		drop-rule
src/css/main/01-foundation.css	.swatch strong	.swatch strong	swatch		drop-rule
src/css/main/01-foundation.css	.swatch span	.swatch span	swatch		drop-rule
src/css/main/01-foundation.css	.hex	.hex	hex		drop-rule
src/css/main/01-foundation.css	.layout	.layout	layout		drop-rule
